organisation,dataset_id,dataset_name,date_created,last_updated,description,frequency,coverage_start,coverage_end,resource_id,resource_name,resource_description,resource_format
Accounting and Corporate Regulatory Authority,21d477f2-6e1b-4232-82b3-59e804dc2f6a,ACRA Information on Corporate Entities,12/06/2017,02/11/2017,"This is a more detailed version of the UEN dataset here (https://data.gov.sg/dataset/entities-with-unique-entity-number). It is updated monthly, and there is additional information such as paid up capital and auditor",Adhoc,31/10/2017,31/10/2017,15ffcdd1-6cc9-48d6-bbb4-cfc7e9b0aa46,ACRA Information on Corporate Entities ('T'),"This file contains information on corporate entities that begin with the letter ""T"".",CSV
Accounting and Corporate Regulatory Authority,21d477f2-6e1b-4232-82b3-59e804dc2f6a,ACRA Information on Corporate Entities,12/06/2017,02/11/2017,"This is a more detailed version of the UEN dataset here (https://data.gov.sg/dataset/entities-with-unique-entity-number). It is updated monthly, and there is additional information such as paid up capital and auditor",Adhoc,31/10/2017,31/10/2017,a740cd7d-8c08-4825-bcdc-b5c8d2a80a81,ACRA Information on Corporate Entities ('V'),"This file contains information on corporate entities that begin with the letter ""V"".",CSV
Accounting and Corporate Regulatory Authority,21d477f2-6e1b-4232-82b3-59e804dc2f6a,ACRA Information on Corporate Entities,12/06/2017,02/11/2017,"This is a more detailed version of the UEN dataset here (https://data.gov.sg/dataset/entities-with-unique-entity-number). It is updated monthly, and there is additional information such as paid up capital and auditor",Adhoc,31/10/2017,31/10/2017,15b43f42-139c-4c31-a607-44c20f44d1c1,ACRA Information on Corporate Entities ('W'),"This file contains information on corporate entities that begin with the letter ""W"".",CSV
Accounting and Corporate Regulatory Authority,21d477f2-6e1b-4232-82b3-59e804dc2f6a,ACRA Information on Corporate Entities,12/06/2017,02/11/2017,"This is a more detailed version of the UEN dataset here (https://data.gov.sg/dataset/entities-with-unique-entity-number). It is updated monthly, and there is additional information such as paid up capital and auditor",Adhoc,31/10/2017,31/10/2017,903aa558-bf4b-4ab0-8eed-5a5a00af0618,ACRA Information on Corporate Entities ('X'),"This file contains information on corporate entities that begin with the letter ""X""",CSV
Accounting and Corporate Regulatory Authority,21d477f2-6e1b-4232-82b3-59e804dc2f6a,ACRA Information on Corporate Entities,12/06/2017,02/11/2017,"This is a more detailed version of the UEN dataset here (https://data.gov.sg/dataset/entities-with-unique-entity-number). It is updated monthly, and there is additional information such as paid up capital and auditor",Adhoc,31/10/2017,31/10/2017,4629432d-6bbd-4381-88b3-1dd2dabb0c18,ACRA Information on Corporate Entities ('Y'),"This file contains information on corporate entities that begin with the letter ""Y""",CSV
Accounting and Corporate Regulatory Authority,21d477f2-6e1b-4232-82b3-59e804dc2f6a,ACRA Information on Corporate Entities,12/06/2017,02/11/2017,"This is a more detailed version of the UEN dataset here (https://data.gov.sg/dataset/entities-with-unique-entity-number). It is updated monthly, and there is additional information such as paid up capital and auditor",Adhoc,31/10/2017,31/10/2017,eaa3a71f-6bc9-40a1-a1c6-baf034dc1ac0,ACRA Information on Corporate Entities ('Z'),"This file contains information on corporate entities that begin with the letter ""Z"".",CSV
Accounting and Corporate Regulatory Authority,21d477f2-6e1b-4232-82b3-59e804dc2f6a,ACRA Information on Corporate Entities,12/06/2017,02/11/2017,"This is a more detailed version of the UEN dataset here (https://data.gov.sg/dataset/entities-with-unique-entity-number). It is updated monthly, and there is additional information such as paid up capital and auditor",Adhoc,31/10/2017,31/10/2017,e8732ea3-adca-4ca0-9fef-2b90c7a24f06,ACRA Information on Corporate Entities ('Others'),This file contains information on corporate entities that begin with the numbers or special characters.,CSV
Civil Aviation Authority of Singapore,2bf11177-14ef-4cd7-a948-f564f7fe1798,Total Air Cargo Discharged By Region and Country Of Origin,15/03/2017,16/11/2017,Air cargo discharged (measured in tonnes) by the various regions and countries collected on a monthly frequency.,Monthly,01/01/1986,30/09/2017,2a6106f6-5a4b-4d10-9399-36ef4a9b59f7,Total Air Cargo Discharged in Tonnes,na,CSV
Civil Aviation Authority of Singapore,2bf11177-14ef-4cd7-a948-f564f7fe1798,Total Air Cargo Discharged By Region and Country Of Origin,15/03/2017,16/11/2017,Air cargo discharged (measured in tonnes) by the various regions and countries collected on a monthly frequency.,Monthly,01/01/1986,30/09/2017,b8e4eeb1-254c-46ef-a7f7-8f49790820be,Total Air Cargo Discharged in Tonnes by Region,na,CSV
Civil Aviation Authority of Singapore,2bf11177-14ef-4cd7-a948-f564f7fe1798,Total Air Cargo Discharged By Region and Country Of Origin,15/03/2017,16/11/2017,Air cargo discharged (measured in tonnes) by the various regions and countries collected on a monthly frequency.,Monthly,01/01/1986,30/09/2017,dcae511e-eb14-407e-abb5-df75d2bc77b7,Total Air Cargo Discharged in Tonnes by Country,na,CSV
National Environment Agency,21facfab-8730-4244-89b7-e433d7e4322e,Air Pollutant - Nitrogen Dioxide,20/05/2015,21/04/2017,Air Pollutant - Nitrogen Dioxide,Annual,01/01/1999,31/12/2014,f8060108-f102-41e2-be12-fe264a34bba4,Air Pollutant - Nitrogen Dioxide,na,CSV
National Environment Agency,5e55b076-5d48-4c1f-b9be-bd742504bb54,Air Pollutant - Carbon Monoxide,20/05/2015,21/04/2017,Air Pollutant - Carbon Monoxide,Annual,01/01/1999,31/12/2014,9c28a8fa-9f14-4985-aadc-cff5a49c496a,Air Pollutant - Carbon Monoxide  (2nd Maximum 8-Hour Mean),na,CSV
National Environment Agency,c178cb62-7e0d-4b53-ba22-28f9adbf7c7d,Air Pollutant - Lead,09/05/2016,21/04/2017,Air Pollutant - Lead,Annual,01/01/2006,31/12/2014,2b14a0cf-203c-4b0f-8432-62be3971f9b6,Air Polluant - Lead,na,CSV
National Environment Agency,98bc64dc-d818-4c83-a962-ad39f43fb3e4,Air Pollutant - Ozone,20/05/2015,21/04/2017,Air Pollutant - Ozone,Annual,01/01/1999,31/12/2014,1bdc3a3e-27bd-4b5b-b13a-2e36528fb785,Air Pollutant - Ozone,na,CSV
National Environment Agency,df04538e-7f82-4a15-a01b-a1b60aebd5d1,Air Pollutant - Particulate Matter PM10,20/05/2015,21/04/2017,"Air Pollutant - Particulate Matter PM10Please note that the figures from 2011 onwards are based on the 99th percentile of the WHO standards.",Annual,01/01/1999,31/12/2014,1a333dd6-c2e9-43a4-9b98-4d9c2705dc23,Air Pollutant - Particulate Matter PM10,na,CSV
National Environment Agency,ab46d42e-6eff-451e-ae9f-0ad14027a3e4,Air Pollutant - Particulate Matter PM2.5,20/05/2015,21/04/2017,Air Pollutant - Particulate Matter PM2.5,Annual,01/01/2002,31/12/2014,2e47ab6d-e327-4eb0-824f-e3ab6a5984db,Air Pollutant - Particulate Matter PM2.5,na,CSV
National Environment Agency,77140998-ac24-4b85-8a6b-9c5e13d04a2e,Air Pollutant - Sulphur Dioxide,20/05/2015,21/04/2017,Air Pollutant - Sulphur Dioxide,Annual,01/01/1999,31/12/2014,b1f52bb9-6d74-42b6-aae9-60e15a6b725f,Air Pollutant - Sulphur Dioxide,na,CSV
National Environment Agency,5c763d5c-4c25-40c6-9588-f76477f2e351,Surface Air Temperature - Monthly Absolute Extreme Maximum,20/05/2015,21/02/2018,The monthly extreme maximum air temperature recorded at the Changi Climate Station.,Monthly,01/01/1982,31/01/2018,96e66346-68bb-4ca9-b001-58bbf39e36a7,Surface Air Temperature - Monthly Absolute Extreme Maximum,na,CSV
Central Provident Fund Board,85f17d39-856d-4b73-adaa-75385a131e97,"Number & Amount of Claims Made under MediShield/MediShield Life, Annual",31/05/2016,27/03/2017,Number and amount for claims made under MediShield/MediShield Life for calendar year.,Annual,01/01/2010,31/12/2016,35090ddf-276a-48b1-8a96-6525ac5bcb43,"Number of claims made under MediShield/MediShield Life, Annual",Number of claims made under MediShield/MediShield Life for calendar year,CSV
Central Provident Fund Board,85f17d39-856d-4b73-adaa-75385a131e97,"Number & Amount of Claims Made under MediShield/MediShield Life, Annual",31/05/2016,27/03/2017,Number and amount for claims made under MediShield/MediShield Life for calendar year.,Annual,01/01/2010,31/12/2016,c2835545-c8b8-4624-ba39-6f1dcbb8f28e,"Amount of claims made under MediShield/MediShield Life, Annual","Amount of claims made under MediShield/MediShield Life for calendar year.Figures are rounded to the nearest hundred thousand dollars.",CSV
Infocomm Media Development Authority,e892be8f-9d02-4e44-bcba-7738c81cd2ed,Amount Spent by Enterprises on Infocomm Security Education,16/09/2015,28/03/2017,"Estimated amount spent in educating employees on infocomm security education per enterprise by employment size.To track the level of infocomm usage by enterprises (Please refer to URL: https://www.ida.gov.sg/Tech-Scene-News/Facts-and-Figures)",Annual,01/01/2006,31/12/2013,30c9c99c-53bc-4273-934e-a3e24d987dfb,Amount Spent by Enterprises on Infocomm Security Education,na,CSV
Land Transport Authority,938f8d1b-adf3-4663-988b-f5b5e335d917,Annual Bus Population by Passenger Capacity,08/04/2016,14/09/2017,All buses including public and general purpose buses registered in Singapore (excluding buses with road tax exemption).,Annual,01/01/2005,31/12/2016,1a6feec8-5443-4206-8eb0-6fc3f7846c45,Annual Bus Population by Passenger Capacity,"Figures exclude tax exempted buses.MVP 01-10 - Bus by Pax",CSV
Land Transport Authority,97be7b7a-fa27-46c1-a226-4653597e253b,Annual Age Distribution of Buses,06/04/2016,07/06/2017,All buses (excluding road tax exempted buses) registered in Singapore.,Annual,01/01/2005,31/12/2016,508b9ba5-ba5f-449e-bc69-e881ba15a018,Annual Age Distribution of Bus,"Note: Figures exclude tax exempted vehicles and vehicles for off-the-road use (RU plates).MVP01-3-4(Age Bus)",CSV
Land Transport Authority,7d9e0584-7725-4113-a02f-c0d7989c3694,Annual Age Distribution of Goods Vehicles,08/04/2016,07/06/2017,All goods vehicles (excluding road tax exempted goods vehicles) registered in Singapore.,Annual,01/01/2005,31/12/2016,df81d2cd-dba0-4b02-b3c9-3c837f10ef89,Annual Age of Goods Vehicles,"Figures exclude tax exempted vehicles and vehicles for off-the-road use (RU plates).MVP01-3-3(Age GVS)",CSV
Land Transport Authority,055e9052-cf54-4a92-af55-0121192be0ba,Annual Car Population by CC Rating,12/04/2016,06/02/2017,"All passenger cars including station wagons registered in Singapore (excluding cars exempted from road tax payment).Ref: http://www.mytransport.sg/content/mytransport/home/dataMall.html",Annual,01/01/2005,31/12/2016,f6bdfe4c-bde0-4313-a10b-82bd0ac634a9,Annual Car Population by CC,"Figures exclude taxis and tax exempted cars.MVP 01-05 - Car by cc",CSV
Land Transport Authority,dd17016e-ad31-4f8b-8484-485816af4d2f,Annual Age Distribution of Motorcycles,08/04/2016,07/06/2017,All motorcycles (excluding road tax exempted motorcycles) registered in Singapore.,Annual,01/01/2005,31/12/2016,d4807660-5601-4ac4-8078-8f9526f53bde,Annual Age Distribution of Motorcycles,"Figures exclude tax exempted vehicles and vehicles for off-the-road use (RU plates).MVP01-32(Age MTC)",CSV
Land Transport Authority,28313637-0fac-4cb4-9ae7-490fe009d084,Annual Car Population by Make,13/04/2016,07/06/2017,"Figures include all passenger cars registered in Singapore, including station wagons and cars exempted from road tax and the Vehicle Quota System.",Annual,01/01/2005,31/12/2016,08f7cf29-60aa-4da0-9e79-8c139a70c91e,Annual Car Population by Make,"Figures include cars exempted from tax and the Vehicle Quota System.MVP01-6(Cars by Make)",CSV
Land Transport Authority,113835c2-427a-4b3e-a9ce-b3675515c1a9,Annual Effective Transfer of Car Ownership by Make,25/04/2016,29/08/2017,All effective transfer of car ownership by make within the report period.,Annual,01/01/2011,31/12/2016,289badcc-d458-4348-953e-7324b7f859e1,Total Annual Effective Transfer of Car Ownership by Make,"Figures include station wagons, tax exempted and Vehicle Quota System exempted cars but exclude taxis. MVP04-01-1- (Car Trf by make)",CSV
Majlis Ugama Islam Singapura,20a14bfe-814f-4eb7-808a-729732545a63,Annual Haj Pilgrims,27/06/2016,22/09/2017,Number of Haj Pilgrims in Gregorian Year and Hijrah Year,Annual,01/01/1983,31/12/2015,386c1cf9-4441-45bf-800c-17d7c2ac5e98,Annual Number of Haj Pilgrims,na,CSV
Land Transport Authority,e0976d4d-dcf4-43ee-ba58-874014a5bb8d,Annual Goods Vehicle and Bus Population By Make,13/04/2016,06/02/2017,"All goods vehicles and buses including road tax payment or COE exempted goods vehicles registered in Singapore.Ref: http://www.mytransport.sg/content/mytransport/home/dataMall.html",Annual,01/01/2005,31/12/2016,44e1853b-9e1a-4745-8215-3be544298f85,Annual Goods Vehicle and Bus Population By Make,"Figures include tax exempted, VQS exempted and vehicles registered for off the road use.MVP01-11(Bus by make)",CSV
Land Transport Authority,cc51b90c-e68d-4136-915c-ed8f78e1db46,Annual Goods Vehicle Population by Type and Maximum Laden Weight,27/04/2016,06/02/2017,"All goods vehicles including light and heavy trucks, articulated, mobile cranes (excluding vehicles exempted from road tax payment or registered for off the road use).Ref: http://www.mytransport.sg/content/mytransport/home/dataMall.html",Annual,01/01/2004,31/12/2016,ebdad545-cd65-4b74-9877-47ba7f3d4a14,Goods and Other Vehicle Population by Type of Body and Maximum Laden Weight,"Figures exclude tax exempted vehicles and vehicles for off-the-road use.Articulated vehicles include prime movers and low loaders.MVP01-9 GVP by MLW",CSV
